STAT_ID,variable,n,adf_p,kpss_p,verdict
400071,SpecCond25C,42,0.0217,0.1,Stationary
400071,SO4,42,0.0077,0.0452,Trend-stationary
400072,pH,42,0.0,0.0185,Trend-stationary
400072,SpecCond25C,42,0.0365,0.0594,Stationary
400072,SO4,42,0.0011,0.1,Stationary
400073,pH,36,0.0,0.1,Stationary
400073,SpecCond25C,36,0.0725,0.1,Diff-stationary
400073,SO4,36,0.0,0.1,Stationary
400074,pH,38,0.0298,0.0517,Stationary
400074,SpecCond25C,38,0.3365,0.1,Diff-stationary
400074,Cl,32,0.0404,0.0245,Trend-stationary
400074,SO4,38,0.2948,0.1,Diff-stationary
400074,DIP,37,0.0003,0.1,Stationary
400075,pH,40,0.225,0.0139,Non-stationary
400075,SpecCond25C,40,0.0022,0.0142,Trend-stationary
400075,Alkalinity,20,0.0003,0.1,Stationary
400075,SO4,39,0.0,0.1,Stationary
400075,DIP,31,0.0347,0.1,Stationary
400078,pH,39,0.8666,0.01,Non-stationary
400078,SpecCond25C,39,0.4765,0.0319,Non-stationary
400078,SO4,38,0.0,0.1,Stationary
400078,DIP,30,0.0078,0.1,Stationary
400079,pH,42,0.1277,0.0792,Diff-stationary
400079,SpecCond25C,42,0.0,0.1,Stationary
400079,Alkalinity,22,1.0,0.1,Diff-stationary
400079,Cl,21,0.0002,0.1,Stationary
400079,SO4,41,0.0,0.1,Stationary
400079,DIP,33,0.0,0.1,Stationary
400080,pH,47,0.0,0.1,Stationary
400080,SpecCond25C,47,0.0,0.1,Stationary
400080,Cl,32,0.036,0.1,Stationary
400080,SO4,45,0.0136,0.1,Stationary
400080,DIP,47,0.0081,0.1,Stationary
400083,pH,41,0.0,0.1,Stationary
400083,SpecCond25C,41,0.2767,0.0908,Diff-stationary
400083,Cl,40,0.0026,0.1,Stationary
400083,SO4,41,0.0016,0.1,Stationary
400083,DIP,41,0.0,0.1,Stationary
400084,pH,46,0.0,0.1,Stationary
400084,SpecCond25C,46,0.1786,0.1,Diff-stationary
400084,Cl,44,0.1184,0.1,Diff-stationary
400084,SO4,46,0.0001,0.1,Stationary
400084,DIP,45,0.0001,0.1,Stationary
400085,pH,42,0.0,0.1,Stationary
400085,SpecCond25C,42,0.0165,0.1,Stationary
400085,Cl,42,0.0001,0.1,Stationary
400085,SO4,42,0.0388,0.0659,Stationary
400085,DIP,42,0.0,0.1,Stationary
400089,pH,29,0.0,0.1,Stationary
400089,SpecCond25C,29,0.0138,0.1,Stationary
400089,Cl,29,0.0004,0.1,Stationary
400089,SO4,29,0.0591,0.1,Diff-stationary
400089,DIP,28,0.0628,0.1,Diff-stationary
400090,pH,42,0.0,0.1,Stationary
400090,SpecCond25C,42,0.0064,0.1,Stationary
400090,Cl,41,0.0,0.1,Stationary
400090,SO4,42,0.0,0.1,Stationary
400090,DIP,42,0.0,0.0208,Trend-stationary
400091,pH,43,0.0,0.1,Stationary
400091,SpecCond25C,43,0.0001,0.0809,Stationary
400091,Cl,42,0.0,0.0985,Stationary
400091,SO4,43,0.0,0.1,Stationary
400091,DIP,43,0.0001,0.1,Stationary
400097,pH,57,0.0064,0.1,Stationary
400097,SpecCond25C,57,0.5135,0.091,Diff-stationary
400097,Alkalinity,56,0.0585,0.1,Diff-stationary
400097,Cl,57,0.0726,0.0882,Diff-stationary
400097,SO4,56,0.0,0.1,Stationary
400097,DIP,57,0.2321,0.1,Diff-stationary
400099,pH,46,0.0001,0.1,Stationary
400099,SpecCond25C,46,0.0,0.1,Stationary
400099,Alkalinity,34,0.0001,0.1,Stationary
400099,Cl,46,0.0,0.1,Stationary
400099,SO4,34,0.0524,0.1,Diff-stationary
400099,DIP,46,0.0,0.1,Stationary
400102,pH,42,0.0062,0.1,Stationary
400102,SpecCond25C,42,0.0119,0.0116,Trend-stationary
400102,Alkalinity,20,0.6932,0.1,Diff-stationary
400102,Cl,42,0.2176,0.1,Diff-stationary
400102,SO4,21,0.0017,0.1,Stationary
400102,DIP,42,0.0,0.1,Stationary
400106,pH,44,0.0,0.1,Stationary
400106,SpecCond25C,44,0.0004,0.1,Stationary
400106,Alkalinity,44,0.0,0.0824,Stationary
400106,SO4,43,0.9002,0.01,Non-stationary
400106,DIP,44,0.0113,0.1,Stationary
400107,pH,44,0.0575,0.1,Diff-stationary
400107,SpecCond25C,44,0.0,0.1,Stationary
400107,Alkalinity,43,0.0034,0.1,Stationary
400107,SO4,43,0.9385,0.1,Diff-stationary
400107,DIP,44,0.0891,0.1,Diff-stationary
400108,pH,47,0.0749,0.1,Diff-stationary
400108,SpecCond25C,47,0.0,0.1,Stationary
400108,Alkalinity,46,0.0,0.1,Stationary
400108,SO4,45,0.3976,0.0709,Diff-stationary
400108,DIP,46,0.0002,0.1,Stationary
400110,pH,41,0.0,0.1,Stationary
400110,SpecCond25C,41,0.0075,0.1,Stationary
400110,Alkalinity,41,0.0,0.1,Stationary
400110,SO4,39,0.0,0.1,Stationary
400110,DIP,41,0.0,0.1,Stationary
400111,pH,43,0.0,0.1,Stationary
400111,SpecCond25C,43,0.0,0.1,Stationary
400111,Alkalinity,43,0.0001,0.0235,Trend-stationary
400111,SO4,42,0.995,0.01,Non-stationary
400111,DIP,43,0.0149,0.1,Stationary
400112,pH,44,0.0,0.1,Stationary
400112,SpecCond25C,44,0.0001,0.1,Stationary
400112,Alkalinity,44,0.9724,0.0379,Non-stationary
400112,SO4,43,0.9879,0.01,Non-stationary
400112,DIP,44,0.0,0.1,Stationary
400113,pH,43,0.0044,0.1,Stationary
400113,SpecCond25C,43,0.0014,0.1,Stationary
400113,Alkalinity,43,0.0018,0.1,Stationary
400113,SO4,42,0.0,0.1,Stationary
400113,DIP,43,0.0,0.1,Stationary
400115,pH,42,0.0,0.1,Stationary
400115,SpecCond25C,42,0.8415,0.0406,Non-stationary
400115,Alkalinity,42,0.0,0.1,Stationary
400115,SO4,41,0.0,0.1,Stationary
400115,DIP,42,0.0,0.1,Stationary
400116,pH,45,0.0,0.1,Stationary
400116,SpecCond25C,45,0.0,0.1,Stationary
400116,Alkalinity,45,0.0006,0.0155,Trend-stationary
400116,SO4,44,0.0,0.1,Stationary
400116,DIP,45,0.9122,0.0118,Non-stationary
400117,pH,26,0.0111,0.1,Stationary
400117,SpecCond25C,26,0.0011,0.1,Stationary
400117,Cl,26,0.0222,0.1,Stationary
400117,SO4,26,0.0056,0.1,Stationary
400117,DIP,26,0.0329,0.1,Stationary
400118,pH,32,0.0,0.1,Stationary
400118,SpecCond25C,32,0.0,0.1,Stationary
400118,SO4,32,0.1653,0.0693,Diff-stationary
400118,DIP,32,0.504,0.1,Diff-stationary
400119,pH,45,0.0013,0.1,Stationary
400119,SpecCond25C,46,0.0001,0.1,Stationary
400119,SO4,37,0.0,0.1,Stationary
400119,DIP,46,0.0009,0.1,Stationary
400120,pH,38,0.971,0.0112,Non-stationary
400120,SpecCond25C,40,0.0,0.1,Stationary
400120,Cl,27,0.0005,0.1,Stationary
400120,SO4,40,0.0,0.1,Stationary
400120,DIP,38,0.0,0.1,Stationary
400123,pH,43,0.0908,0.1,Diff-stationary
400123,SpecCond25C,44,0.0,0.1,Stationary
400123,SO4,33,0.0,0.1,Stationary
400123,DIP,43,0.1602,0.1,Diff-stationary
400125,pH,45,0.0062,0.0274,Trend-stationary
400125,SpecCond25C,45,0.0045,0.1,Stationary
400125,DIP,44,0.0,0.0335,Trend-stationary
400127,pH,22,0.9914,0.1,Diff-stationary
400127,SpecCond25C,22,0.836,0.0798,Diff-stationary
400127,Alkalinity,21,0.0178,0.0964,Stationary
400127,Cl,22,0.8371,0.1,Diff-stationary
400127,SO4,22,0.7763,0.1,Diff-stationary
400127,DIP,22,0.0001,0.1,Stationary
400137,pH,43,0.0,0.1,Stationary
400137,SpecCond25C,44,0.0,0.1,Stationary
400137,Cl,25,0.5656,0.1,Diff-stationary
400137,SO4,39,0.0068,0.0174,Trend-stationary
400137,DIP,43,0.0,0.1,Stationary
400138,pH,42,0.2475,0.1,Diff-stationary
400138,SpecCond25C,42,0.0003,0.0427,Trend-stationary
400138,Alkalinity,37,0.0008,0.1,Stationary
400138,Cl,36,0.0,0.0734,Stationary
400138,SO4,42,0.0018,0.1,Stationary
400138,DIP,42,0.0,0.1,Stationary
400139,pH,38,0.0,0.1,Stationary
400139,SpecCond25C,38,0.026,0.1,Stationary
400139,Alkalinity,35,0.7965,0.1,Diff-stationary
400139,Cl,34,0.0156,0.1,Stationary
400139,SO4,38,0.0,0.1,Stationary
400139,DIP,38,0.0,0.1,Stationary
400140,pH,38,0.0,0.1,Stationary
400140,SpecCond25C,38,0.0074,0.1,Stationary
400140,Alkalinity,33,0.0155,0.1,Stationary
400140,Cl,32,0.0014,0.1,Stationary
400140,SO4,37,0.001,0.1,Stationary
400140,DIP,38,0.0,0.0594,Stationary
400145,pH,45,0.0,0.1,Stationary
400145,SpecCond25C,45,0.0,0.1,Stationary
400145,DIP,45,0.0,0.1,Stationary
400149,pH,42,0.0,0.1,Stationary
400149,SpecCond25C,43,0.5524,0.1,Diff-stationary
400149,Cl,31,0.0,0.1,Stationary
400149,SO4,39,0.0136,0.1,Stationary
400149,DIP,42,0.0054,0.1,Stationary
400150,pH,26,0.1171,0.1,Diff-stationary
400150,SpecCond25C,26,0.2896,0.0313,Non-stationary
400150,Cl,26,0.0,0.1,Stationary
400150,SO4,26,0.0503,0.1,Diff-stationary
400150,DIP,26,0.7147,0.1,Diff-stationary
400153,pH,44,0.2255,0.1,Diff-stationary
400153,SpecCond25C,44,0.0002,0.1,Stationary
400153,Cl,44,0.0014,0.1,Stationary
400153,SO4,44,0.0011,0.1,Stationary
400153,DIP,44,0.0001,0.1,Stationary
400154,pH,31,0.0,0.1,Stationary
400154,SpecCond25C,31,0.0784,0.0487,Non-stationary
400154,Cl,31,0.0,0.1,Stationary
400154,SO4,30,0.788,0.0625,Diff-stationary
400154,DIP,31,0.4145,0.1,Diff-stationary
400155,pH,37,0.0045,0.1,Stationary
400155,SpecCond25C,37,0.0,0.0934,Stationary
400155,Cl,37,0.3386,0.1,Diff-stationary
400155,SO4,36,0.0,0.1,Stationary
400155,DIP,37,0.0,0.1,Stationary
400156,pH,38,0.0,0.1,Stationary
400156,SpecCond25C,38,0.0106,0.1,Stationary
400156,Cl,38,0.0053,0.0747,Stationary
400156,SO4,38,0.0017,0.1,Stationary
400156,DIP,38,0.0,0.1,Stationary
400157,pH,38,0.0871,0.1,Diff-stationary
400157,SpecCond25C,38,0.0051,0.1,Stationary
400157,Cl,38,0.0,0.1,Stationary
400157,SO4,38,0.0,0.1,Stationary
400157,DIP,38,0.0292,0.1,Stationary
400163,pH,33,0.0842,0.0999,Diff-stationary
400163,SpecCond25C,33,0.001,0.0957,Stationary
400164,pH,24,0.4243,0.1,Diff-stationary
400164,SpecCond25C,24,0.9254,0.1,Diff-stationary
400164,SO4,24,0.0026,0.1,Stationary
400164,DIP,24,0.0001,0.1,Stationary
400166,pH,24,0.3011,0.1,Diff-stationary
400166,SpecCond25C,24,0.0803,0.1,Diff-stationary
400166,SO4,24,0.0318,0.1,Stationary
400166,DIP,24,0.0001,0.1,Stationary
400167,pH,22,0.0,0.1,Stationary
400167,SpecCond25C,22,0.5807,0.1,Diff-stationary
400167,SO4,22,0.9831,0.1,Diff-stationary
400167,DIP,22,0.8603,0.0623,Diff-stationary
400169,pH,25,0.537,0.1,Diff-stationary
400169,SpecCond25C,25,0.3208,0.1,Diff-stationary
400169,SO4,25,0.0004,0.1,Stationary
400169,DIP,25,0.9991,0.1,Diff-stationary
400170,pH,23,0.2302,0.1,Diff-stationary
400170,SpecCond25C,23,0.2893,0.1,Diff-stationary
400170,SO4,23,0.0,0.1,Stationary
400170,DIP,23,0.0,0.031,Trend-stationary
400171,pH,24,0.0005,0.1,Stationary
400171,SpecCond25C,24,0.0052,0.1,Stationary
400171,SO4,24,0.2471,0.1,Diff-stationary
400171,DIP,24,0.0553,0.1,Diff-stationary
400173,pH,45,0.0,0.1,Stationary
400173,SpecCond25C,45,0.0001,0.1,Stationary
400173,DIP,44,0.0,0.1,Stationary
400176,pH,20,0.1153,0.1,Diff-stationary
400176,SpecCond25C,20,0.54,0.1,Diff-stationary
400176,Cl,20,0.7978,0.1,Diff-stationary
400176,SO4,20,0.6869,0.1,Diff-stationary
400183,pH,28,0.0258,0.0339,Trend-stationary
400183,SpecCond25C,28,0.2338,0.0135,Non-stationary
400183,Alkalinity,28,0.0648,0.0301,Non-stationary
400183,Cl,28,0.0,0.0148,Trend-stationary
400183,SO4,28,0.1154,0.0138,Non-stationary
400183,DIP,28,0.0315,0.0725,Stationary
400186,pH,30,0.0014,0.1,Stationary
400186,SpecCond25C,30,0.0,0.1,Stationary
400186,Cl,30,0.0,0.1,Stationary
400186,SO4,30,0.0,0.1,Stationary
400186,DIP,30,0.0,0.1,Stationary
400187,pH,36,0.0,0.1,Stationary
400187,SpecCond25C,36,0.0148,0.1,Stationary
400187,Cl,36,0.0088,0.1,Stationary
400187,SO4,36,0.0,0.1,Stationary
400187,DIP,36,0.0,0.1,Stationary
400216,pH,21,0.0,0.1,Stationary
400216,SpecCond25C,21,0.0106,0.1,Stationary
400216,Alkalinity,20,0.0,0.1,Stationary
400216,Cl,20,0.9707,0.1,Diff-stationary
400216,SO4,20,0.3539,0.1,Diff-stationary
400216,DIP,21,0.5626,0.1,Diff-stationary
400230,pH,42,0.0,0.1,Stationary
400230,SpecCond25C,42,0.0,0.1,Stationary
400230,Cl,42,0.0001,0.1,Stationary
400230,SO4,42,0.0,0.1,Stationary
400230,DIP,42,0.0,0.1,Stationary
400268,pH,24,0.0742,0.1,Diff-stationary
400268,SpecCond25C,24,0.9748,0.0368,Non-stationary
400268,DIP,24,0.0006,0.1,Stationary
400272,pH,24,0.9981,0.0491,Non-stationary
400272,SpecCond25C,24,0.0,0.1,Stationary
400272,DIP,24,0.7251,0.1,Diff-stationary
400273,pH,26,0.0001,0.07,Stationary
400273,SpecCond25C,27,0.0,0.1,Stationary
400273,DIP,27,1.0,0.1,Diff-stationary
400274,pH,42,0.0,0.1,Stationary
400274,SpecCond25C,42,0.0,0.0889,Stationary
400274,DIP,42,0.1472,0.1,Diff-stationary
400276,pH,35,0.9267,0.0375,Non-stationary
400276,SpecCond25C,35,0.0,0.1,Stationary
400276,DIP,35,0.0084,0.1,Stationary
400279,pH,29,0.113,0.091,Diff-stationary
400279,SpecCond25C,29,0.0,0.0826,Stationary
400279,DIP,29,0.0,0.1,Stationary
400280,pH,29,0.0,0.1,Stationary
400280,SpecCond25C,29,0.199,0.1,Diff-stationary
400280,DIP,29,0.0012,0.1,Stationary
400281,pH,49,0.0,0.1,Stationary
400281,SpecCond25C,49,0.0,0.1,Stationary
400281,DIP,49,0.7973,0.022,Non-stationary
400282,pH,39,0.0,0.1,Stationary
400282,SpecCond25C,39,0.0,0.1,Stationary
400282,DIP,39,0.8196,0.0843,Diff-stationary
400284,pH,30,0.1287,0.1,Diff-stationary
400284,SpecCond25C,30,0.0,0.1,Stationary
400284,DIP,30,0.0302,0.1,Stationary
400285,pH,33,0.0005,0.1,Stationary
400285,SpecCond25C,33,0.0,0.1,Stationary
400285,DIP,33,0.0,0.0316,Trend-stationary
400286,pH,24,0.0256,0.1,Stationary
400286,SpecCond25C,24,0.0855,0.1,Diff-stationary
400286,DIP,24,0.2407,0.1,Diff-stationary
400287,pH,20,0.9989,0.0193,Non-stationary
400287,SpecCond25C,20,0.0064,0.1,Stationary
400287,DIP,20,0.0344,0.1,Stationary
400288,pH,57,0.0025,0.1,Stationary
400288,SpecCond25C,57,0.0001,0.1,Stationary
400288,DIP,57,0.0,0.1,Stationary
400289,pH,54,0.0,0.1,Stationary
400289,SpecCond25C,54,0.0002,0.1,Stationary
400289,DIP,54,0.0,0.1,Stationary
400290,pH,29,0.0006,0.1,Stationary
400290,SpecCond25C,29,0.0001,0.1,Stationary
400290,DIP,29,0.0,0.1,Stationary
400314,pH,26,0.1781,0.1,Diff-stationary
400314,SpecCond25C,26,0.5489,0.1,Diff-stationary
400314,Cl,23,0.0994,0.1,Diff-stationary
400314,SO4,26,0.0,0.1,Stationary
400314,DIP,25,0.0016,0.1,Stationary
400315,pH,27,0.0,0.0747,Stationary
400315,SpecCond25C,27,0.026,0.1,Stationary
400315,Cl,25,0.0071,0.1,Stationary
400315,SO4,27,0.4458,0.1,Diff-stationary
400315,DIP,26,0.997,0.1,Diff-stationary
400328,pH,30,0.0018,0.1,Stationary
400328,SpecCond25C,30,0.9955,0.1,Diff-stationary
400328,Cl,28,0.5545,0.0835,Diff-stationary
400328,SO4,30,0.0,0.1,Stationary
400328,DIP,29,0.0,0.1,Stationary
400330,pH,49,0.0004,0.1,Stationary
400330,SpecCond25C,49,0.0008,0.1,Stationary
400330,DIP,49,0.0892,0.0678,Diff-stationary
400331,pH,21,0.4303,0.1,Diff-stationary
400331,SpecCond25C,21,0.243,0.1,Diff-stationary
400331,Cl,20,0.6186,0.1,Diff-stationary
400331,SO4,21,0.0032,0.0366,Trend-stationary
400358,pH,28,0.0018,0.1,Stationary
400358,SpecCond25C,28,0.0157,0.1,Stationary
400358,SO4,28,0.0005,0.1,Stationary
400358,DIP,28,0.0,0.1,Stationary
400363,pH,30,0.0,0.1,Stationary
400363,SpecCond25C,30,0.2774,0.0778,Diff-stationary
400363,SO4,30,0.0011,0.1,Stationary
400363,DIP,30,0.0254,0.024,Trend-stationary
400366,pH,31,0.9743,0.0743,Diff-stationary
400366,SpecCond25C,31,0.0,0.1,Stationary
400366,SO4,31,0.0006,0.1,Stationary
400366,DIP,31,0.4381,0.0782,Diff-stationary
400371,pH,21,0.005,0.0671,Stationary
400371,SpecCond25C,24,0.0067,0.1,Stationary
400371,SO4,31,0.0384,0.1,Stationary
400372,pH,22,0.0543,0.0318,Non-stationary
400372,SpecCond25C,26,0.2005,0.0611,Diff-stationary
400372,SO4,36,0.0,0.019,Trend-stationary
400375,pH,34,0.0,0.1,Stationary
400375,SpecCond25C,34,0.9733,0.01,Non-stationary
400375,Cl,34,0.0,0.1,Stationary
400375,DIP,34,0.0,0.0359,Trend-stationary
400376,pH,38,0.0015,0.1,Stationary
400376,SpecCond25C,39,0.0004,0.0639,Stationary
400376,Alkalinity,38,0.0012,0.0399,Trend-stationary
400376,Cl,39,0.0,0.1,Stationary
400376,SO4,39,0.9667,0.031,Non-stationary
400376,DIP,39,0.0,0.1,Stationary
400377,pH,40,0.0,0.1,Stationary
400377,SpecCond25C,40,0.0002,0.1,Stationary
400377,Alkalinity,40,0.0,0.1,Stationary
400377,Cl,40,0.0,0.1,Stationary
400377,SO4,40,0.0,0.1,Stationary
400377,DIP,40,0.0001,0.1,Stationary
400378,pH,20,0.9026,0.1,Diff-stationary
400378,SpecCond25C,22,0.6006,0.1,Diff-stationary
400378,Cl,22,0.1489,0.1,Diff-stationary
400378,SO4,22,0.038,0.1,Stationary
400378,DIP,21,0.0002,0.1,Stationary
400381,pH,21,0.203,0.1,Diff-stationary
400381,SpecCond25C,22,0.9983,0.1,Diff-stationary
400381,SO4,21,0.0001,0.1,Stationary
400381,DIP,22,0.0997,0.1,Diff-stationary
400382,pH,30,0.0095,0.1,Stationary
400382,SpecCond25C,30,0.1506,0.0723,Diff-stationary
400382,Cl,30,0.0,0.1,Stationary
400382,SO4,30,0.0009,0.1,Stationary
400382,DIP,30,0.0,0.1,Stationary
400383,pH,22,0.0157,0.1,Stationary
400383,SpecCond25C,22,0.4168,0.0826,Diff-stationary
400383,SO4,21,0.0,0.1,Stationary
400383,DIP,21,0.6095,0.0659,Diff-stationary
400384,pH,22,0.0927,0.1,Diff-stationary
400384,SpecCond25C,22,0.6524,0.1,Diff-stationary
400384,SO4,20,0.6256,0.1,Diff-stationary
400384,DIP,22,0.5385,0.0523,Diff-stationary
400386,pH,22,0.9613,0.1,Diff-stationary
400386,SpecCond25C,22,0.851,0.0902,Diff-stationary
400386,SO4,20,0.0,0.1,Stationary
400386,DIP,22,0.2829,0.085,Diff-stationary
400392,pH,44,0.0016,0.1,Stationary
400392,Alkalinity,44,0.4356,0.1,Diff-stationary
400392,Cl,43,0.0001,0.1,Stationary
400392,SO4,44,0.0007,0.1,Stationary
400393,pH,23,0.6899,0.1,Diff-stationary
400393,SpecCond25C,23,0.0298,0.1,Stationary
400393,SO4,23,0.9985,0.0995,Diff-stationary
400393,DIP,23,0.0,0.1,Stationary
400437,pH,40,0.0008,0.1,Stationary
400437,SpecCond25C,40,0.0001,0.1,Stationary
400437,Alkalinity,40,0.0044,0.1,Stationary
400437,SO4,39,0.0,0.1,Stationary
400437,DIP,40,0.0,0.1,Stationary
400441,SO4,23,0.5099,0.0396,Non-stationary
400444,pH,56,0.0,0.1,Stationary
400444,SpecCond25C,57,0.0004,0.1,Stationary
400444,Alkalinity,56,0.0,0.0824,Stationary
400444,Cl,56,0.0009,0.1,Stationary
400444,SO4,56,0.0035,0.1,Stationary
400444,DIP,56,0.2862,0.1,Diff-stationary
400445,pH,36,0.0,0.1,Stationary
400445,SpecCond25C,36,0.0073,0.1,Stationary
400445,Alkalinity,36,0.0021,0.1,Stationary
400445,Cl,36,0.0359,0.1,Stationary
400445,SO4,36,0.1731,0.1,Diff-stationary
400445,DIP,36,0.0532,0.1,Diff-stationary
400446,pH,43,0.0458,0.1,Stationary
400446,SpecCond25C,43,0.0,0.0955,Stationary
400446,Alkalinity,43,0.0,0.1,Stationary
400446,Cl,43,0.0,0.1,Stationary
400446,SO4,43,0.0,0.1,Stationary
400446,DIP,43,0.0,0.1,Stationary
400447,pH,52,0.0,0.1,Stationary
400447,SpecCond25C,52,0.0,0.0181,Trend-stationary
400447,Alkalinity,52,0.0,0.0433,Trend-stationary
400447,Cl,52,0.0,0.1,Stationary
400447,SO4,52,0.0,0.1,Stationary
400447,DIP,52,0.0,0.064,Stationary
400448,pH,57,0.0,0.1,Stationary
400448,SpecCond25C,57,0.0,0.0375,Trend-stationary
400448,Alkalinity,57,0.0,0.0956,Stationary
400448,Cl,57,0.0174,0.1,Stationary
400448,SO4,56,0.0,0.1,Stationary
400448,DIP,57,0.0,0.0687,Stationary
400449,pH,43,0.0,0.1,Stationary
400449,SpecCond25C,43,0.0001,0.0958,Stationary
400449,Alkalinity,43,0.0001,0.1,Stationary
400449,Cl,43,0.0,0.1,Stationary
400449,SO4,43,0.0,0.0768,Stationary
400449,DIP,43,0.0,0.0867,Stationary
400453,pH,45,0.0,0.1,Stationary
400453,SpecCond25C,45,0.0,0.0448,Trend-stationary
400453,Alkalinity,44,0.0009,0.1,Stationary
400453,Cl,44,0.0,0.0298,Trend-stationary
400453,SO4,44,0.0,0.0355,Trend-stationary
400453,DIP,44,0.0,0.1,Stationary
400454,pH,40,0.0151,0.1,Stationary
400454,SpecCond25C,40,0.0017,0.0319,Trend-stationary
400454,Alkalinity,40,0.0001,0.0578,Stationary
400454,Cl,40,0.0,0.0324,Trend-stationary
400454,SO4,40,0.0,0.1,Stationary
400454,DIP,40,0.0002,0.0654,Stationary
400455,pH,36,0.0153,0.1,Stationary
400455,SpecCond25C,36,0.0708,0.0393,Non-stationary
400455,Alkalinity,35,0.013,0.055,Stationary
400455,Cl,35,0.1679,0.0274,Non-stationary
400455,SO4,35,0.0612,0.0766,Diff-stationary
400455,DIP,36,0.0381,0.1,Stationary
400456,pH,63,0.0,0.1,Stationary
400456,SpecCond25C,63,0.0013,0.0201,Trend-stationary
400456,Alkalinity,63,0.0,0.08,Stationary
400456,Cl,63,0.0011,0.0188,Trend-stationary
400456,SO4,63,0.0024,0.0169,Trend-stationary
400456,DIP,63,0.0,0.0514,Stationary
400457,pH,80,0.5128,0.0335,Non-stationary
400457,SpecCond25C,80,0.2984,0.0867,Diff-stationary
400457,Alkalinity,80,0.0298,0.0569,Stationary
400457,Cl,80,0.5105,0.1,Diff-stationary
400457,SO4,80,0.0,0.1,Stationary
400457,DIP,80,0.0136,0.0707,Stationary
400458,pH,51,0.0,0.1,Stationary
400458,SpecCond25C,51,0.0238,0.0561,Stationary
400458,Alkalinity,51,0.0124,0.1,Stationary
400458,Cl,51,0.0001,0.1,Stationary
400458,SO4,51,0.0,0.1,Stationary
400458,DIP,51,0.0,0.1,Stationary
400459,pH,59,0.5595,0.1,Diff-stationary
400459,SpecCond25C,59,0.9564,0.01,Non-stationary
400459,Alkalinity,55,0.069,0.01,Non-stationary
400459,Cl,55,0.003,0.1,Stationary
400459,SO4,55,0.0,0.0976,Stationary
400459,DIP,59,0.0,0.1,Stationary
